track_id,x,y,label_id,area_pixels,perimeter_pixels,equivalent_diameter_pixels,estimated_volume_3d,circularity,frame_id
0,108,208,1,570.0,87.59797954559326,26.939683377854365,10237.079683584658,0.9334617809974608,48
0,109,207,1,573.0,89.2548336982727,27.010484244701136,10318.004981475835,0.9038596429471949,49
0,109,208,1,569.0,87.59797942638397,26.916041702938184,10210.151819314548,0.9318241312862762,50
0,111,208,1,569.0,87.5979791879654,26.916041702938184,10210.151819314548,0.9318241363586349,51
0,112,207,2,567.0,87.59797954559326,26.86869594648831,10156.36706777258,0.928548824255369,52
1,52,165,1,345.0,69.94112455844879,20.958712816717327,4820.503947844984,0.8862652829097438,52
0,112,207,3,565.0,87.59797930717468,26.821266613927218,10102.677091245916,0.9252735247973415,53
1,52,165,1,344.0,69.11269736289978,20.928315827817965,4799.560429846252,0.9050084210218038,53
2,176,176,2,169.0,48.97056245803833,14.668929172241665,1652.6993534058945,0.8855771134235454,53
1,52,166,1,342.0,69.11269736289978,20.867389014906145,4757.764695398601,0.899746744155398,54
2,175,176,2,170.0,48.97056245803833,14.712264360219255,1667.389960824849,0.8908172146864066,54
0,113,208,3,567.0,87.59797942638397,26.86869594648831,10156.36706777258,0.9285488267826338,54
1,52,166,1,344.0,69.94112455844879,20.928315827817965,4799.560429846252,0.8836963980317446,55
2,175,175,2,168.5,50.041630148887634,14.647213499088313,1645.3703163975867,0.8455647537751313,55
0,114,209,3,569.0,87.59797954559326,26.916041702938184,10210.151819314548,0.9318241287500969,55
0,115,209,3,566.0,87.59797954559326,26.844991754889815,10129.510222178424,0.926911172008005,56
2,174,175,2,168.0,47.79898953437805,14.625465582862905,1638.0521452806454,0.9240207293052358,56
1,52,164,1,341.0,68.28427040576935,20.83685880248485,4736.912567764889,0.9190156266478916,56
0,116,209,3,567.0,87.59797942638397,26.86869594648831,10156.36706777258,0.9285488267826338,57
2,174,173,2,170.5,50.041630148887634,14.733884157863644,1674.7514992771676,0.8556011306745395,57
1,50,165,1,341.0,68.28427028656006,20.83685880248485,4736.912567764889,0.9190156298566893,57
0,117,209,3,570.0,87.5979790687561,26.939683377854365,10237.079683584658,0.9334617911600073,58
1,51,164,1,341.0,68.28427028656006,20.83685880248485,4736.912567764889,0.9190156298566893,58
2,172,174,2,170.0,48.97056245803833,14.712264360219255,1667.389960824849,0.8908172146864066,58
0,118,209,3,568.0,87.59797954559326,26.89237924411993,10183.247607106745,0.9301864765027329,59
1,50,164,1,341.0,68.28427028656006,20.83685880248485,4736.912567764889,0.9190156298566893,59
2,173,173,2,170.0,48.97056245803833,14.712264360219255,1667.389960824849,0.8908172146864066,59
1,50,164,1,342.0,69.11269760131836,20.867389014906145,4757.764695398601,0.899746737947672,60
0,119,209,3,572.0,88.42640614509583,26.986904594423443,10291.00628534014,0.9192675789643027,60
2,172,171,2,172.0,49.79898953437805,14.798554040663838,1696.9008633294534,0.8715599186468248,60
1,50,163,2,341.0,68.28427040576935,20.83685880248485,4736.912567764889,0.9190156266478916,61
2,171,170,3,170.5,49.21320307254791,14.733884157863644,1674.7514992771676,0.884648983409357,61
0,121,210,4,564.0,87.5979791879654,26.797520467958073,10075.867695952234,0.9236358750549561,61
3,232,156,1,284.0,62.62741661071777,19.015783725757565,3600.3217187434325,0.9099116160762691,61
3,232,156,2,283.0,62.627416491508484,18.982275710779543,3581.3226841004066,0.9067077053869338,62
0,122,209,5,569.0,87.5979791879654,26.916041702938184,10210.151819314548,0.9318241363586349,62
1,51,164,3,339.0,68.28427040576935,20.775663783985824,4695.300015180796,0.9136255056704846,62
2,170,171,4,171.0,49.79898953437805,14.755472278097805,1682.1238397031498,0.8664927098174828,62
4,83,152,1,170.0,48.97056245803833,14.712264360219255,1667.389960824849,0.8908172146864066,62
1,51,164,3,343.0,69.11269736289978,20.897874625046462,4778.647330927291,0.9023775825886008,63
2,170,170,4,168.5,48.38477599620819,14.647213499088313,1645.3703163975867,0.9044661121754021,63
3,233,154,2,283.0,62.62741661071777,18.982275710779543,3581.3226841004066,0.9067077019351555,63
4,84,150,1,170.0,48.97056233882904,14.712264360219255,1667.389960824849,0.8908172190234482,63
0,125,211,5,568.0,87.59797954559326,26.89237924411993,10183.247607106745,0.9301864765027329,63
1,51,164,3,342.0,68.28427028656006,20.867389014906145,4757.764695398601,0.9217106903548027,64
4,85,150,1,171.0,49.79898953437805,14.755472278097805,1682.1238397031498,0.8664927098174828,64
3,234,155,2,285.0,62.627416491508484,19.04923279949934,3619.3542319048747,0.9131155336935552,64
0,126,210,5,571.0,87.5979791879654,26.963304323539017,10264.031179160516,0.9350994408801063,64
2,171,168,4,171.0,49.79898953437805,14.755472278097805,1682.1238397031498,0.8664927098174828,64
1,50,164,3,341.0,69.11269760131836,20.83685880248485,4736.912567764889,0.8971158995326204,65
2,170,167,4,170.0,48.97056245803833,14.712264360219255,1667.389960824849,0.8908172146864066,65
3,234,153,2,282.0,62.62741661071777,18.948708441878455,3562.357187073149,0.9035037877940417,65
0,127,212,5,568.0,87.59797954559326,26.89237924411993,10183.247607106745,0.9301864765027329,65
4,87,148,1,169.0,48.97056245803833,14.668929172241665,1652.6993534058945,0.8855771134235454,65
1,50,164,3,340.0,68.28427052497864,20.806283791440396,4716.090992726489,0.9163205629598006,66
2,169,167,4,171.0,48.97056245803833,14.755472278097805,1682.1238397031498,0.8960573159492679,66
4,88,148,1,170.5,49.21320307254791,14.733884157863644,1674.7514992771676,0.884648983409357,66
0,129,212,5,566.0,87.59797930717468,26.844991754889815,10129.510222178424,0.9269111770536201,66
